symbol,date,open_price,high_price,low_price,close_price,volume
TCS,2026-06-01,3500,3550,3480,3520,80000.0
TCS,2026-06-02,3520,3565,3510,3550,82000.0
TCS,2026-06-03,3550,3590,3535,3575,84000.0
INFY,2026-06-01,1600,1625,1590,1610,90000.0
INFY,2026-06-02,1610,1630,1605,,92000.0
INFY,2026-06-03,1625,1640,1615,1630,95000.0
HDFCBANK,2026-06-01,1700,1720,1680,1710,120000.0
HDFCBANK,2026-06-02,1710,1730,1700,1720,
HDFCBANK,2026-06-03,1720,1745,1715,1735,130000.0
ICICIBANK,2026-06-01,1100,1125,1090,1110,135000.0
ICICIBANK,2026-06-02,-1110,1130,1100,1120,138000.0
ICICIBANK,2026-06-03,1120,1145,1115,1135,140000.0
ITC,2026-06-01,420,430,418,425,200000.0
ITC,2026-06-02,425,435,420,430,205000.0
ITC,2026-06-02,425,435,420,430,205000.0
BHARTIARTL,2026-06-01,1500,1525,1490,1510,145000.0
BHARTIARTL,2026-06-02,1510,1530,1500,1525,-148000.0
BHARTIARTL,2026-06-03,1525,1545,1515,1540,150000.0
LT,2026-06-01,3200,3230,3185,3210,70000.0
LT,2026-06-02,3210,3250,3200,3235,72000.0
LT,2026-06-03,3235,3270,3225,3250,74000.0
HINDUNILVR,2026-06-01,2600,2635,2585,2615,65000.0
HINDUNILVR,2026-06-02,2615,2640,2600,2630,67000.0
HINDUNILVR,2026-06-03,2630,2655,2620,2645,69000.0
SBIN,2026-06-01,850,875,845,860,250000.0
SBIN,2026-06-02,860,885,855,875,255000.0
SBIN,2026-06-03,875,895,870,890,260000.0
SBIN,2026-06-03,875,895,870,890,260000.0
tcs,2026-06-04,3580,3600,3570,3590,85000.0
Tcs,2026-06-05,3590,3610,3580,3600,86000.0
 TCS ,2026-06-06,3600,3620,3590,3610,87000.0
INFY,06/07/2026,1640,1655,1630,1645,96000.0
INFY,2026/06/08,1650,1665,1640,1655,97000.0
,2026-06-09,1660,1670,1650,1665,98000.0
TCS,2030-01-01,3650,3670,3640,3660,90000.0
HDFCBANK,2026-06-10,1750,1700,1740,1745,131000.0
ITC,2026-06-11,440,438,435,437,212000.0
SBIN,2026-06-12,890,900,880,895,
LT,2026-06-13,3250,3270,3235,Unknown,75000.0
TCS,2026-06-14,3600,3620,3590,350000,88000.0
